url,page_type,primary_keyword,secondary_keywords,target_stage
/,homepage,"Concrete Des Moines","Concrete near me; local Concrete Des Moines",transactional
/services/driveways.html,service,"Concrete Driveways Des Moines","Concrete Driveways near me",transactional
/services/patios.html,service,"Concrete Patios Des Moines","Concrete Patios near me",transactional
/services/sidewalks.html,service,"Sidewalks &amp; Walkways Des Moines","Sidewalks &amp; Walkways near me",transactional
/services/foundations.html,service,"Foundations Des Moines","Foundations near me",transactional
/services/stamped-concrete.html,service,"Stamped Concrete Des Moines","Stamped Concrete near me",transactional
/services/garage-floors.html,service,"Garage Floors Des Moines","Garage Floors near me",transactional
/services/retaining-walls.html,service,"Retaining Walls Des Moines","Retaining Walls near me",transactional
/services/concrete-repair.html,service,"Concrete Repair Des Moines","Concrete Repair near me",transactional
/services/pool-decks.html,service,"Pool Decks Des Moines","Pool Decks near me",transactional
/services/commercial-concrete.html,service,"Commercial Concrete Des Moines","Commercial Concrete near me",transactional
