url,page_type,primary_keyword,secondary_keywords,target_stage
/,homepage,"Garage Door Repair Reno","Garage Door Repair near me; local Garage Door Repair Reno",transactional
/services/spring-replacement.html,service,"Spring Replacement Reno","Spring Replacement near me",transactional
/services/opener-repair.html,service,"Opener Repair Reno","Opener Repair near me",transactional
/services/panel-replacement.html,service,"Panel Replacement Reno","Panel Replacement near me",transactional
/services/new-installation.html,service,"New Door Installation Reno","New Door Installation near me",transactional
/services/emergency.html,service,"Emergency Service Reno","Emergency Service near me",transactional
/services/cable-repair.html,service,"Cable Repair Reno","Cable Repair near me",transactional
/services/roller-replacement.html,service,"Roller Replacement Reno","Roller Replacement near me",transactional
/services/off-track.html,service,"Off-Track Repair Reno","Off-Track Repair near me",transactional
/services/sensor-alignment.html,service,"Sensor Alignment Reno","Sensor Alignment near me",transactional
/services/commercial-doors.html,service,"Commercial Doors Reno","Commercial Doors near me",transactional
