url,page_type,primary_keyword,secondary_keywords,target_stage
/,homepage,"Junk Removal Tacoma","Junk Removal near me; local Junk Removal Tacoma",transactional
/services/residential.html,service,"Residential Junk Removal Tacoma","Residential Junk Removal near me",transactional
/services/commercial.html,service,"Commercial Cleanouts Tacoma","Commercial Cleanouts near me",transactional
/services/same-day.html,service,"Same-Day Pickup Tacoma","Same-Day Pickup near me",transactional
/services/emergency.html,service,"Emergency Service Tacoma","Emergency Service near me",transactional
/services/pricing.html,service,"Transparent Pricing Tacoma","Transparent Pricing near me",transactional
/services/appliance-removal.html,service,"Appliance Removal Tacoma","Appliance Removal near me",transactional
/services/furniture-removal.html,service,"Furniture Removal Tacoma","Furniture Removal near me",transactional
/services/yard-debris-removal.html,service,"Yard Debris Removal Tacoma","Yard Debris Removal near me",transactional
/services/estate-cleanout.html,service,"Estate Cleanouts Tacoma","Estate Cleanouts near me",transactional
/services/construction-debris.html,service,"Construction Debris Tacoma","Construction Debris near me",transactional
