url,page_type,primary_keyword,secondary_keywords,target_stage
/,homepage,"Pressure Washing Greenville","Pressure Washing near me; local Pressure Washing Greenville",transactional
/services/house-washing.html,service,"House Washing Greenville","House Washing near me",transactional
/services/driveway-cleaning.html,service,"Driveway &amp; Sidewalk Greenville","Driveway &amp; Sidewalk near me",transactional
/services/deck-restoration.html,service,"Deck &amp; Patio Greenville","Deck &amp; Patio near me",transactional
/services/roof-cleaning.html,service,"Roof Cleaning Greenville","Roof Cleaning near me",transactional
/services/commercial.html,service,"Commercial Washing Greenville","Commercial Washing near me",transactional
/services/fence-cleaning.html,service,"Fence Cleaning Greenville","Fence Cleaning near me",transactional
/services/gutter-cleaning.html,service,"Gutter Cleaning Greenville","Gutter Cleaning near me",transactional
/services/concrete.html,service,"Concrete &amp; Masonry Greenville","Concrete &amp; Masonry near me",transactional
/services/soft-washing.html,service,"Soft Washing Greenville","Soft Washing near me",transactional
/services/fleet-washing.html,service,"Fleet &amp; Equipment Greenville","Fleet &amp; Equipment near me",transactional
