url,page_type,primary_keyword,secondary_keywords,target_stage
/,homepage,"Roofing Chattanooga","Roofing near me; local Roofing Chattanooga",transactional
/services/roof-replacement.html,service,"Roof Replacement Chattanooga","Roof Replacement near me",transactional
/services/roof-repair.html,service,"Roof Repair Chattanooga","Roof Repair near me",transactional
/services/shingle-roofing.html,service,"Shingle Roofing Chattanooga","Shingle Roofing near me",transactional
/services/metal-roofing.html,service,"Metal Roofing Chattanooga","Metal Roofing near me",transactional
/services/emergency.html,service,"Emergency Roof Service Chattanooga","Emergency Roof Service near me",transactional
/services/flat-roof.html,service,"Flat Roof Systems Chattanooga","Flat Roof Systems near me",transactional
/services/gutter-install.html,service,"Gutter Installation Chattanooga","Gutter Installation near me",transactional
/services/roof-inspection.html,service,"Roof Inspection Chattanooga","Roof Inspection near me",transactional
/services/storm-damage.html,service,"Storm Damage Repair Chattanooga","Storm Damage Repair near me",transactional
/services/siding.html,service,"Siding &amp; Exterior Chattanooga","Siding &amp; Exterior near me",transactional
