url,page_type,primary_keyword,secondary_keywords,target_stage
/,homepage,"Tree Service Boise","Tree Service near me; local Tree Service Boise",transactional
/services/tree-trimming.html,service,"Tree Trimming Boise","Tree Trimming near me",transactional
/services/tree-removal.html,service,"Tree Removal Boise","Tree Removal near me",transactional
/services/stump-grinding.html,service,"Stump Grinding Boise","Stump Grinding near me",transactional
/services/storm-damage.html,service,"Storm Damage Cleanup Boise","Storm Damage Cleanup near me",transactional
/services/lot-clearing.html,service,"Lot Clearing Boise","Lot Clearing near me",transactional
/services/pruning.html,service,"Pruning &amp; Health Boise","Pruning &amp; Health near me",transactional
/services/emergency.html,service,"Emergency Tree Service Boise","Emergency Tree Service near me",transactional
/services/hedge-trimming.html,service,"Hedge &amp; Shrub Care Boise","Hedge &amp; Shrub Care near me",transactional
/services/cabling-bracing.html,service,"Cabling &amp; Bracing Boise","Cabling &amp; Bracing near me",transactional
/services/wood-chipping.html,service,"Wood Chipping &amp; Hauling Boise","Wood Chipping &amp; Hauling near me",transactional
